poi_id,longitude,latitude,poi_code
222-222@62j-sgs-st9,-71.12521,42.252935,713940
222-222@62j-sgx-cqz,-71.094043,42.269548,713940
222-222@62j-sgx-tjv,-71.074908,42.275632,713940
222-222@62j-sh7-8gk,-71.220639,42.349526,713940
222-222@62j-sh7-d5f,-71.242485,42.358206,713940
222-222@62j-sh8-dsq,-71.229834,42.327659,713940
222-222@62j-sh9-m6k,-71.198651,42.369522,713940
222-222@62j-sh9-wrk,-71.199562,42.36569,713940
222-222@62j-shd-9j9,-71.215381,42.37078,713940
222-222@62j-she-89z,-71.201828,42.312463,713940
222-222@62j-she-jd9,-71.212165,42.311639,713940
222-222@62j-she-n3q,-71.210747,42.316299,713940
222-222@62j-shf-68v,-71.21173,42.366663,713940
222-222@62j-shh-jn5,-71.199681,42.294894,713940
222-222@62j-shh-jy9,-71.19879,42.295885,713940
222-222@62j-shh-kfz,-71.198923,42.292955,713940
222-222@62j-shr-28v,-71.168941,42.3213,713940
222-222@62j-shr-9zz,-71.180331,42.31899,713940
222-222@62j-shr-td9,-71.155719,42.284318,713940
222-222@62j-shy-qzz,-71.045579,42.350985,713940
222-222@62j-sj2-w49,-71.084595,42.373041,713940
222-222@62j-sj3-2x5,-71.08163,42.362263,713940
222-222@62j-sj3-4n5,-71.087029,42.365003,713940
222-222@62j-sj4-nqz,-71.064691,42.348292,713940
222-222@62j-sj5-6rk,-71.045713,42.39143,713940
222-222@62j-sj8-bff,-71.079765,42.376685,713940
222-222@62j-sj9-b49,-71.078508,42.394853,713940
222-222@62j-sjh-2rk,-71.073728,42.306098,713940
222-222@62j-sjp-dgk,-71.075069,42.333997,713940
222-222@62j-sjp-rp9,-71.058159,42.336891,713940
222-222@62j-sjq-7qz,-71.066715,42.342058,713940
222-222@62j-sjs-f9f,-71.155097,42.390934,713940
222-222@62j-sjs-hdv,-71.148456,42.391184,713940
222-222@62j-sjv-ct9,-71.119597,42.377032,713940
222-222@62j-sjx-4jv,-71.173228,42.395552,713940
222-222@62j-sjy-n3q,-71.1572,42.375997,713940
222-222@62j-sjz-cyv,-71.134188,42.407659,713940
222-222@62j-sk2-rx5,-71.104348,42.378985,713940
